Date,New Cases,7-Day Moving Avg
Apr 17 2022,0,3648
Apr 16 2022,0,3648
Apr 15 2022,6566,3648
Apr 14 2022,18974,4116
Apr 13 2022,0,1405
Apr 12 2022,0,1405
Apr 11 2022,0,2823
Apr 10 2022,0,2823
Apr  9 2022,0,2823
Apr  8 2022,9841,2823
Apr  7 2022,0,1993
Apr  6 2022,0,2906
Apr  5 2022,9925,3301
Apr  4 2022,0,1989
Apr  3 2022,0,3013
Apr  2 2022,0,3013
Apr  1 2022,4026,3013
Mar 31 2022,6396,2870
Mar 30 2022,2761,2655
Mar 29 2022,741,2990
Mar 28 2022,7169,2978
Mar 27 2022,0,4147
Mar 26 2022,0,4147
Mar 25 2022,3029,4147
Mar 24 2022,4891,4363
Mar 23 2022,5100,4427
Mar 22 2022,662,4196
Mar 21 2022,15349,4205
Mar 20 2022,0,3674
Mar 19 2022,0,3674
Mar 18 2022,4541,3674
Mar 17 2022,5342,3572
Mar 16 2022,3482,4034
Mar 15 2022,727,4249
Mar 14 2022,11628,4482
Mar 13 2022,0,4625
Mar 12 2022,0,4625
Mar 11 2022,3825,4625
Mar 10 2022,8579,4901
Mar  9 2022,4985,5503
Mar  8 2022,2358,5652
Mar  7 2022,12634,5524
Mar  6 2022,0,6503
Mar  5 2022,0,6503
Mar  4 2022,5754,6503
Mar  3 2022,12793,7358
Mar  2 2022,6027,7770
Mar  1 2022,1460,7835
Feb 28 2022,19492,13424
Feb 27 2022,0,10639
Feb 26 2022,0,10639
Feb 25 2022,11737,10639
Feb 24 2022,15674,10759
Feb 23 2022,6483,10123
Feb 22 2022,40585,10975
Feb 21 2022,0,7276
Feb 20 2022,0,13013
Feb 19 2022,0,13013
Feb 18 2022,12577,13013
Feb 17 2022,11220,14495
Feb 16 2022,12444,14428
Feb 15 2022,14697,18266
Feb 14 2022,40158,22925
Feb 13 2022,0,27668
Feb 12 2022,0,27668
Feb 11 2022,22947,27668
Feb 10 2022,10751,29678
Feb  9 2022,39312,41931
Feb  8 2022,47310,39965
Feb  7 2022,73361,38514
Feb  6 2022,0,52637
Feb  5 2022,0,52637
Feb  4 2022,37012,52637
Feb  3 2022,96528,58311
Feb  2 2022,25550,61722
Feb  1 2022,37147,70531
Jan 31 2022,172226,74200
Jan 30 2022,0,91892
Jan 29 2022,0,91892
Jan 28 2022,76729,91892
Jan 27 2022,120403,98911
Jan 26 2022,87218,104633
Jan 25 2022,62826,106264
Jan 24 2022,296072,108199
Jan 23 2022,0,111590
Jan 22 2022,0,111590
Jan 21 2022,125861,111590
Jan 20 2022,160454,110648
Jan 19 2022,98637,111700
Jan 18 2022,76374,112225
Jan 17 2022,319809,121797
Jan 16 2022,0,120227
Jan 15 2022,0,120227
Jan 14 2022,119264,120227
Jan 13 2022,167819,117990
Jan 12 2022,102310,105137
Jan 11 2022,143380,97913
Jan 10 2022,308820,101129
Jan  9 2022,0,67183
Jan  8 2022,0,67183
Jan  7 2022,103606,67183
Jan  6 2022,77848,60434
Jan  5 2022,51743,56398
Jan  4 2022,165889,51971
Jan  3 2022,71195,35334
Jan  2 2022,0,30478
Jan  1 2022,0,30478
Dec 31 2021,56367,30478
Dec 30 2021,49598,25340
Dec 29 2021,20748,21171
Dec 28 2021,49431,19765
Dec 27 2021,37203,13812
Dec 26 2021,0,12251
Dec 25 2021,0,12251
Dec 24 2021,20401,12251
Dec 23 2021,20417,10378
Dec 22 2021,10903,8761
Dec 21 2021,7766,7834
Dec 20 2021,26273,7507
Dec 19 2021,0,6454
Dec 18 2021,0,6454
Dec 17 2021,7293,6454
Dec 16 2021,9094,6306
Dec 15 2021,4416,6270
Dec 14 2021,5476,6307
Dec 13 2021,18905,6401
Dec 12 2021,0,6901
Dec 11 2021,0,6901
Dec 10 2021,6252,6901
Dec  9 2021,8847,7095
Dec  8 2021,4672,7406
Dec  7 2021,6134,7260
Dec  6 2021,22406,7051
Dec  5 2021,0,4449
Dec  4 2021,0,5049
Dec  3 2021,7612,5648
Dec  2 2021,11020,5160
Dec  1 2021,3654,4185
Nov 30 2021,4667,4100
Nov 29 2021,4196,4028
Nov 28 2021,4195,5621
Nov 27 2021,4195,5022
Nov 26 2021,4195,4422
Nov 25 2021,4195,4584
Nov 24 2021,3063,5099
Nov 23 2021,4163,5220
Nov 22 2021,15344,5271
Nov 21 2021,0,4280
Nov 20 2021,0,4280
Nov 19 2021,5327,5994
Nov 18 2021,7799,5233
Nov 17 2021,3912,5365
Nov 16 2021,4515,5337
Nov 15 2021,8410,5256
Nov 14 2021,0,6753
Nov 13 2021,11996,6753
Nov 12 2021,0,5040
Nov 11 2021,8727,6184
Nov 10 2021,3716,6325
Nov  9 2021,3945,6297
Nov  8 2021,18893,6334
Nov  7 2021,0,6400
Nov  6 2021,0,6400
Nov  5 2021,8012,6400
Nov  4 2021,9711,6269
Nov  3 2021,3518,6135
Nov  2 2021,4209,6258
Nov  1 2021,19351,9165
Oct 31 2021,0,6401
Oct 30 2021,0,6401
Oct 29 2021,7098,6401
Oct 28 2021,8770,6257
Oct 27 2021,4378,6205
Oct 26 2021,24563,6019
Oct 25 2021,0,3093
Oct 24 2021,0,5487
Oct 23 2021,0,5487
Oct 22 2021,6093,5487
Oct 21 2021,8407,5501
Oct 20 2021,3070,5338
Oct 19 2021,4081,5475
Oct 18 2021,16764,5477
Oct 17 2021,0,5499
Oct 16 2021,0,5499
Oct 15 2021,6188,5499
Oct 14 2021,7263,5574
Oct 13 2021,4034,5742
Oct 12 2021,4091,5935
Oct 11 2021,16921,5887
Oct 10 2021,0,6183
Oct  9 2021,0,6183
Oct  8 2021,6710,6183
Oct  7 2021,8440,6349
Oct  6 2021,5386,6603
Oct  5 2021,3752,6761
Oct  4 2021,18998,6904
Oct  3 2021,0,7472
Oct  2 2021,0,7472
Oct  1 2021,7869,7472
Sep 30 2021,10221,7387
Sep 29 2021,6493,7576
Sep 28 2021,4753,7588
Sep 27 2021,22969,7771
Sep 26 2021,0,5374
Sep 25 2021,0,6665
Sep 24 2021,7276,8006
Sep 23 2021,11543,8330
Sep 22 2021,6579,8665
Sep 21 2021,6032,8833
Sep 20 2021,6193,9665
Sep 19 2021,9038,9757
Sep 18 2021,9385,9758
Sep 17 2021,9543,10341
Sep 16 2021,13885,10298
Sep 15 2021,7760,9977
Sep 14 2021,11851,9908
Sep 13 2021,6842,9289
Sep 12 2021,9045,9579
Sep 11 2021,13463,10325
Sep 10 2021,9244,9732
Sep  9 2021,11638,10089
Sep  8 2021,7274,10618
Sep  7 2021,7523,12920
Sep  6 2021,8866,13217
Sep  5 2021,14267,14089
Sep  4 2021,9318,13741
Sep  3 2021,11742,14575
Sep  2 2021,15339,14867
Sep  1 2021,23387,15158
Aug 31 2021,9606,13516
Aug 30 2021,14968,13630
Aug 29 2021,11828,12959
Aug 28 2021,15157,13350
