Date,New Deaths,7-Day Moving Avg
Apr 17 2022,0,50
Apr 16 2022,0,50
Apr 15 2022,159,50
Apr 14 2022,191,56
Apr 13 2022,0,28
Apr 12 2022,0,28
Apr 11 2022,0,50
Apr 10 2022,0,50
Apr  9 2022,0,50
Apr  8 2022,202,50
Apr  7 2022,0,34
Apr  6 2022,0,44
Apr  5 2022,148,57
Apr  4 2022,0,36
Apr  3 2022,0,56
Apr  2 2022,0,56
Apr  1 2022,92,56
Mar 31 2022,72,59
Mar 30 2022,87,64
Mar 29 2022,2,65
Mar 28 2022,145,67
Mar 27 2022,0,87
Mar 26 2022,0,87
Mar 25 2022,107,87
Mar 24 2022,112,93
Mar 23 2022,92,94
Mar 22 2022,13,100
Mar 21 2022,291,99
Mar 20 2022,0,115
Mar 19 2022,0,115
Mar 18 2022,149,115
Mar 17 2022,118,123
Mar 16 2022,135,129
Mar 15 2022,0,134
Mar 14 2022,407,135
Mar 13 2022,0,147
Mar 12 2022,0,147
Mar 11 2022,202,147
Mar 10 2022,160,151
Mar  9 2022,171,156
Mar  8 2022,5,163
Mar  7 2022,496,164
Mar  6 2022,0,194
Mar  5 2022,0,194
Mar  4 2022,226,194
Mar  3 2022,199,191
Mar  2 2022,216,194
Mar  1 2022,12,169
Feb 28 2022,708,261
Feb 27 2022,0,159
Feb 26 2022,0,159
Feb 25 2022,208,159
Feb 24 2022,215,170
Feb 23 2022,46,169
Feb 22 2022,650,197
Feb 21 2022,0,121
Feb 20 2022,0,205
Feb 19 2022,0,205
Feb 18 2022,284,205
Feb 17 2022,207,216
Feb 16 2022,240,210
Feb 15 2022,116,214
Feb 14 2022,589,212
Feb 13 2022,0,202
Feb 12 2022,0,202
Feb 11 2022,363,202
Feb 10 2022,162,181
Feb  9 2022,272,184
Feb  8 2022,101,179
Feb  7 2022,517,179
Feb  6 2022,0,171
Feb  5 2022,0,171
Feb  4 2022,220,171
Feb  3 2022,181,175
Feb  2 2022,239,186
Feb  1 2022,98,180
Jan 31 2022,459,169
Jan 30 2022,0,157
Jan 29 2022,0,157
Jan 28 2022,254,157
Jan 27 2022,255,150
Jan 26 2022,198,138
Jan 25 2022,17,116
Jan 24 2022,379,118
Jan 23 2022,0,111
Jan 22 2022,0,111
Jan 21 2022,201,111
Jan 20 2022,176,102
Jan 19 2022,39,94
Jan 18 2022,36,106
Jan 17 2022,330,102
Jan 16 2022,0,85
Jan 15 2022,0,85
Jan 14 2022,136,85
Jan 13 2022,121,107
Jan 12 2022,119,89
Jan 11 2022,14,91
Jan 10 2022,209,100
Jan  9 2022,0,70
Jan  8 2022,0,70
Jan  7 2022,287,70
Jan  6 2022,0,45
Jan  5 2022,130,60
Jan  4 2022,77,52
Jan  3 2022,0,55
Jan  2 2022,0,55
Jan  1 2022,0,55
Dec 31 2021,109,55
Dec 30 2021,109,50
Dec 29 2021,71,49
Dec 28 2021,97,56
Dec 27 2021,0,42
Dec 26 2021,0,66
Dec 25 2021,0,66
Dec 24 2021,78,66
Dec 23 2021,102,72
Dec 22 2021,117,70
Dec 21 2021,0,66
Dec 20 2021,171,68
Dec 19 2021,0,69
Dec 18 2021,0,69
Dec 17 2021,117,69
Dec 16 2021,85,63
Dec 15 2021,90,63
Dec 14 2021,19,69
Dec 13 2021,176,68
Dec 12 2021,0,66
Dec 11 2021,0,66
Dec 10 2021,77,66
Dec  9 2021,81,73
Dec  8 2021,130,75
Dec  7 2021,12,72
Dec  6 2021,163,79
Dec  5 2021,0,97
Dec  4 2021,0,97
Dec  3 2021,127,97
Dec  2 2021,97,79
Dec  1 2021,110,65
Nov 30 2021,56,71
Nov 29 2021,291,65
Nov 28 2021,0,52
Nov 27 2021,0,52
Nov 26 2021,0,52
Nov 25 2021,0,74
Nov 24 2021,151,92
Nov 23 2021,15,89
Nov 22 2021,199,89
Nov 21 2021,0,80
Nov 20 2021,0,80
Nov 19 2021,153,101
Nov 18 2021,129,79
Nov 17 2021,128,83
Nov 16 2021,20,84
Nov 15 2021,134,84
Nov 14 2021,0,83
Nov 13 2021,148,83
Nov 12 2021,0,62
Nov 11 2021,156,75
Nov 10 2021,134,69
Nov  9 2021,19,61
Nov  8 2021,127,63
Nov  7 2021,0,47
Nov  6 2021,0,47
Nov  5 2021,93,47
Nov  4 2021,113,50
Nov  3 2021,76,50
Nov  2 2021,38,55
Nov  1 2021,13,92
Oct 31 2021,0,90
Oct 30 2021,0,90
Oct 29 2021,111,90
Oct 28 2021,113,95
Oct 27 2021,113,100
Oct 26 2021,298,106
Oct 25 2021,0,66
Oct 24 2021,0,104
Oct 23 2021,0,104
Oct 22 2021,143,104
Oct 21 2021,148,104
Oct 20 2021,156,104
Oct 19 2021,21,97
Oct 18 2021,266,96
Oct 17 2021,0,91
Oct 16 2021,0,91
Oct 15 2021,140,91
Oct 14 2021,148,94
Oct 13 2021,106,96
Oct 12 2021,15,104
Oct 11 2021,234,102
Oct 10 2021,0,103
Oct  9 2021,0,103
Oct  8 2021,156,103
Oct  7 2021,167,99
Oct  6 2021,157,97
Oct  5 2021,0,93
Oct  4 2021,243,96
Oct  3 2021,0,101
Oct  2 2021,0,101
Oct  1 2021,126,101
Sep 30 2021,153,106
Sep 29 2021,130,106
Sep 28 2021,25,108
Sep 27 2021,275,107
Sep 26 2021,0,68
Sep 25 2021,0,86
Sep 24 2021,159,104
Sep 23 2021,154,105
Sep 22 2021,146,110
Sep 21 2021,16,116
Sep 20 2021,4,128
Sep 19 2021,125,129
Sep 18 2021,125,122
Sep 17 2021,171,133
Sep 16 2021,186,132
Sep 15 2021,188,135
Sep 14 2021,97,111
Sep 13 2021,15,103
Sep 12 2021,76,105
Sep 11 2021,203,116
Sep 10 2021,165,102
Sep  9 2021,201,96
Sep  8 2021,26,89
Sep  7 2021,40,106
Sep  6 2021,25,102
Sep  5 2021,158,103
Sep  4 2021,103,95
Sep  3 2021,119,95
Sep  2 2021,155,93
Sep  1 2021,143,89
Aug 31 2021,16,84
Aug 30 2021,28,84
Aug 29 2021,104,81
Aug 28 2021,106,79
Aug 27 2021,102,75
Aug 26 2021,129,78
Aug 25 2021,108,73
Aug 24 2021,17,70
Aug 23 2021,3,69
Aug 22 2021,89,70
Aug 21 2021,82,63
Aug 20 2021,120,57
Aug 19 2021,92,49
Aug 18 2021,90,45
Aug 17 2021,7,32
Aug 16 2021,11,32
Aug 15 2021,45,31
Aug 14 2021,40,30
Aug 13 2021,61,29
Aug 12 2021,61,26
Aug 11 2021,0,25
Aug 10 2021,10,33
Aug  9 2021,6,33
Aug  8 2021,36,53
Aug  7 2021,33,48
Aug  6 2021,37,44
Aug  5 2021,56,45
Aug  4 2021,54,43
Aug  3 2021,11,40
Aug  2 2021,150,39
Aug  1 2021,0,27
Jul 31 2021,0,27
Jul 30 2021,44,27
Jul 29 2021,42,28
Jul 28 2021,38,26
Jul 27 2021,5,22
Jul 26 2021,65,22
Jul 25 2021,0,20
Jul 24 2021,0,20
Jul 23 2021,46,20
Jul 22 2021,31,23
Jul 21 2021,11,22
Jul 20 2021,4,25
Jul 19 2021,51,25
Jul 18 2021,0,31
Jul 17 2021,0,31
Jul 16 2021,65,31
Jul 15 2021,25,30
Jul 14 2021,30,35
Jul 13 2021,6,34
Jul 12 2021,96,47
Jul 11 2021,0,33
Jul 10 2021,0,33
Jul  9 2021,59,33
Jul  8 2021,58,31
Jul  7 2021,21,33
Jul  6 2021,97,34
Jul  5 2021,0,21
Jul  4 2021,0,21
Jul  3 2021,0,28
Jul  2 2021,45,35
Jul  1 2021,73,39
Jun 30 2021,24,40
Jun 29 2021,5,42
Jun 28 2021,4,43
Jun 27 2021,45,43
Jun 26 2021,55,41
Jun 25 2021,68,38
Jun 24 2021,81,36
Jun 23 2021,40,29
Jun 22 2021,8,26
Jun 21 2021,4,26
Jun 20 2021,35,26
Jun 19 2021,32,21
Jun 18 2021,57,17
Jun 17 2021,31,17
Jun 16 2021,19,18
Jun 15 2021,10,18
Jun 14 2021,0,17
Jun 13 2021,4,18
Jun 12 2021,0,50
Jun 11 2021,55,59
Jun 10 2021,39,63
Jun  9 2021,20,65
Jun  8 2021,6,65
Jun  7 2021,3,66
Jun  6 2021,228,66
Jun  5 2021,63,34
Jun  4 2021,87,25
Jun  3 2021,48,37
Jun  2 2021,23,35
Jun  1 2021,10,39
May 31 2021,5,39
May 30 2021,7,39
May 29 2021,0,43
May 28 2021,170,50
May 27 2021,31,36
May 26 2021,54,38
May 25 2021,8,36
May 24 2021,7,36
May 23 2021,33,36
May 22 2021,50,39
May 21 2021,69,36
May 20 2021,48,36
May 19 2021,42,35
May 18 2021,3,38
