Date,MMWR_week,Location,Date Type,Short Name,Long Name,Percent of Total Pop with at least One Dose,Percent of Total Pop Fully Vaccinated,Percent of Total Fully Vaccinated Pop with a First Booster Dose,Administered,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,Daily Count People Receiving a First Booster Dose,People Receiving a First Booster Dose Cumulative,7-Day Average Daily Count First Booster
2020-12-14,N/A,CA,Admin,CAA,California,0,0,0,2913,68,61,2913,2133,1067,1457,21,1131,566,0,0,0
2020-12-15,N/A,CA,Admin,CAA,California,0,0,0,4262,1349,1520,4262,3653,1218,1421,35,1166,389,0,0,0
2020-12-16,N/A,CA,Admin,CAA,California,0,0,0,14368,10106,10235,14368,13888,3472,3592,23,1189,297,0,0,0
2020-12-17,N/A,CA,Admin,CAA,California,0.1,0,0,44725,30357,30287,44725,44175,8835,8945,59,1248,250,0,0,0
2020-12-18,N/A,CA,Admin,CAA,California,0.2,0,0,95151,50426,50401,95151,94576,15763,15859,38,1286,214,0,0,0
2020-12-19,N/A,CA,Admin,CAA,California,0.3,0,0,122668,27517,27378,122668,121954,17422,17524,24,1310,187,0,0,0
2020-12-20,N/A,CA,Admin,CAA,California,0.4,0,0,143022,20354,20204,143022,142158,20012,20025,27,1337,32,0,0,0
2020-12-21,N/A,CA,Admin,CAA,California,0.5,0,0,195500,52478,52245,195500,194403,27467,27512,51,1388,37,0,0,0
2020-12-22,N/A,CA,Admin,CAA,California,0.6,0,0,250846,55346,55075,250846,249478,35118,35226,73,1461,42,0,0,0
2020-12-23,N/A,CA,Admin,CAA,California,0.8,0,0,307890,57044,56782,307890,306260,41767,41932,56,1517,47,0,0,0
2020-12-24,N/A,CA,Admin,CAA,California,0.8,0,0,334699,26809,26660,334699,332920,41249,41425,25,1542,42,0,0,0
2020-12-25,N/A,CA,Admin,CAA,California,0.8,0,0,337210,2511,2497,337210,335417,34406,34580,9,1551,38,0,0,0
2020-12-26,N/A,CA,Admin,CAA,California,0.9,0,0,353657,16447,16348,353657,351765,32830,32998,18,1569,37,0,0,0
2020-12-27,N/A,CA,Admin,CAA,California,0.9,0,0,364254,10597,10540,364254,362305,31450,31605,24,1593,37,0,0,0
2020-12-28,N/A,CA,Admin,CAA,California,1,0,0,416951,52697,52137,416951,414442,31434,31636,141,1734,49,0,0,0
2020-12-29,N/A,CA,Admin,CAA,California,1.2,0,0,477537,60586,59829,477537,474271,32113,32384,126,1860,57,0,0,0
2020-12-30,N/A,CA,Admin,CAA,California,1.4,0,0,546539,69002,68087,546539,542358,33728,34093,595,2455,134,0,0,0
2020-12-31,N/A,CA,Admin,CAA,California,1.5,0,0,581664,35125,35056,581664,577414,34928,35281,56,2511,138,0,0,0
2021-01-01,N/A,CA,Admin,CAA,California,1.5,0,0,587963,6299,6278,587963,583692,35468,35822,131,2642,156,0,0,0
