Date,MMWR_week,Location,Date Type,Short Name,Long Name,Percent of Total Pop with at least One Dose,Percent of Total Pop Fully Vaccinated,Percent of Total Fully Vaccinated Pop with a First Booster Dose,Administered,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,Daily Count People Receiving a First Booster Dose,People Receiving a First Booster Dose Cumulative,7-Day Average Daily Count First Booster
2020-12-14,N/A,US,Admin,USA,United States,0,0,0,36226,4592,4431,36226,30653,15327,18113,125,6543,3272,0,0,0
2020-12-15,N/A,US,Admin,USA,United States,0,0,0,84194,47968,45805,84194,76458,25486,28065,264,6807,2269,0,0,0
2020-12-16,N/A,US,Admin,USA,United States,0.1,0,0,243553,159359,154147,243553,230605,57651,60888,449,7256,1814,0,0,0
2020-12-17,N/A,US,Admin,USA,United States,0.1,0,0,516141,272588,265699,516141,496304,99261,103228,752,8008,1602,0,0,0
2020-12-18,N/A,US,Admin,USA,United States,0.3,0,0,932596,416455,408017,932596,904321,150720,155433,1200,9208,1535,0,0,0
2020-12-19,N/A,US,Admin,USA,United States,0.3,0,0,1114618,182022,178156,1114618,1082477,154640,159231,1067,10275,1468,0,0,0
2020-12-20,N/A,US,Admin,USA,United States,0.4,0,0,1220145,105527,103566,1220145,1186043,165689,169787,721,10996,654,0,0,0
2020-12-21,N/A,US,Admin,USA,United States,0.5,0,0,1602487,382342,375612,1602487,1561655,218715,223752,1507,12503,851,0,0,0
2020-12-22,N/A,US,Admin,USA,United States,0.6,0,0,2050671,448184,439573,2050671,2001228,274967,280925,2902,15405,1228,0,0,0
2020-12-23,N/A,US,Admin,USA,United States,0.8,0,0,2625224,574553,563099,2625224,2564327,333389,340239,2983,18388,1590,0,0,0
2020-12-24,N/A,US,Admin,USA,United States,0.8,0,0,2821285,196061,191229,2821285,2755556,322750,329306,1107,19495,1641,0,0,0
