date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
2020-02-01,Santa Clara,County,1967585.0,2.0,2.0,0.0,0.0,1.0,1,0.0,0,1.0,1.0,0.0,0.0,
2020-02-02,Santa Clara,County,1967585.0,0.0,2.0,0.0,0.0,2.0,3,0.0,0,1.0,2.0,0.0,0.0,
2020-02-03,Santa Clara,County,1967585.0,0.0,2.0,0.0,0.0,1.0,4,0.0,0,0.0,2.0,0.0,0.0,
2020-02-04,Santa Clara,County,1967585.0,0.0,2.0,0.0,0.0,0.0,4,0.0,0,0.0,2.0,0.0,0.0,
2020-02-05,Santa Clara,County,1967585.0,0.0,2.0,0.0,0.0,1.0,5,0.0,0,0.0,2.0,0.0,0.0,
2020-02-06,Santa Clara,County,1967585.0,2.0,4.0,1.0,1.0,2.0,7,0.0,0,0.0,2.0,0.0,0.0,
2020-02-07,Santa Clara,County,1967585.0,0.0,4.0,0.0,1.0,1.0,8,0.0,0,0.0,2.0,0.0,0.0,
2020-02-08,Santa Clara,County,1967585.0,0.0,4.0,0.0,1.0,1.0,9,0.0,0,0.0,2.0,0.0,0.0,
2020-02-09,Santa Clara,County,1967585.0,0.0,4.0,0.0,1.0,1.0,10,0.0,0,0.0,2.0,0.0,0.0,
2020-02-10,Santa Clara,County,1967585.0,1.0,5.0,0.0,1.0,0.0,10,0.0,0,0.0,2.0,0.0,0.0,
2020-02-11,Santa Clara,County,1967585.0,0.0,5.0,0.0,1.0,0.0,10,0.0,0,0.0,2.0,0.0,0.0,
2020-02-12,Santa Clara,County,1967585.0,1.0,6.0,0.0,1.0,0.0,10,0.0,0,0.0,2.0,0.0,0.0,
2020-02-13,Santa Clara,County,1967585.0,1.0,7.0,0.0,1.0,0.0,10,0.0,0,0.0,2.0,0.0,0.0,
2020-02-14,Santa Clara,County,1967585.0,1.0,8.0,0.0,1.0,0.0,10,0.0,0,0.0,2.0,0.0,0.0,
2020-02-15,Santa Clara,County,1967585.0,2.0,10.0,0.0,1.0,0.0,10,0.0,0,0.0,2.0,0.0,0.0,
2020-02-16,Santa Clara,County,1967585.0,0.0,10.0,0.0,1.0,2.0,12,0.0,0,0.0,2.0,0.0,0.0,
2020-02-17,Santa Clara,County,1967585.0,2.0,12.0,1.0,2.0,0.0,12,0.0,0,0.0,2.0,0.0,0.0,
2020-02-18,Santa Clara,County,1967585.0,2.0,14.0,0.0,2.0,0.0,12,0.0,0,0.0,2.0,0.0,0.0,
2020-02-19,Santa Clara,County,1967585.0,1.0,15.0,0.0,2.0,1.0,13,0.0,0,0.0,2.0,0.0,0.0,
2020-02-20,Santa Clara,County,1967585.0,2.0,17.0,0.0,2.0,1.0,14,0.0,0,0.0,2.0,0.0,0.0,
2020-02-21,Santa Clara,County,1967585.0,4.0,21.0,0.0,2.0,1.0,15,0.0,0,0.0,2.0,0.0,0.0,
2020-02-22,Santa Clara,County,1967585.0,2.0,23.0,0.0,2.0,2.0,17,0.0,0,0.0,2.0,0.0,0.0,
2020-02-23,Santa Clara,County,1967585.0,3.0,26.0,0.0,2.0,1.0,18,0.0,0,0.0,2.0,0.0,0.0,
2020-02-24,Santa Clara,County,1967585.0,12.0,38.0,0.0,2.0,0.0,18,0.0,0,0.0,2.0,0.0,0.0,
2020-02-25,Santa Clara,County,1967585.0,2.0,40.0,0.0,2.0,0.0,18,0.0,0,0.0,2.0,0.0,0.0,
2020-02-26,Santa Clara,County,1967585.0,10.0,50.0,0.0,2.0,4.0,22,3.0,3,0.0,2.0,0.0,0.0,
2020-02-27,Santa Clara,County,1967585.0,9.0,59.0,0.0,2.0,0.0,22,0.0,3,0.0,2.0,0.0,0.0,
2020-02-28,Santa Clara,County,1967585.0,11.0,70.0,0.0,2.0,5.0,27,2.0,5,1.0,3.0,0.0,0.0,
2020-02-29,Santa Clara,County,1967585.0,5.0,75.0,0.0,2.0,15.0,42,12.0,17,0.0,3.0,0.0,0.0,
2020-03-01,Santa Clara,County,1967585.0,22.0,97.0,0.0,2.0,4.0,46,0.0,17,3.0,6.0,0.0,0.0,
2020-03-02,Santa Clara,County,1967585.0,13.0,110.0,0.0,2.0,11.0,57,10.0,27,1.0,7.0,0.0,0.0,
2020-03-03,Santa Clara,County,1967585.0,22.0,132.0,0.0,2.0,10.0,67,5.0,32,4.0,11.0,0.0,0.0,
2020-03-04,Santa Clara,County,1967585.0,15.0,147.0,0.0,2.0,19.0,86,12.0,44,1.0,12.0,0.0,0.0,
2020-03-05,Santa Clara,County,1967585.0,17.0,164.0,0.0,2.0,17.0,103,9.0,53,2.0,14.0,0.0,0.0,
2020-03-06,Santa Clara,County,1967585.0,24.0,188.0,1.0,3.0,22.0,125,15.0,68,6.0,20.0,0.0,0.0,
2020-03-07,Santa Clara,County,1967585.0,18.0,206.0,0.0,3.0,17.0,142,16.0,84,11.0,31.0,0.0,0.0,
2020-03-08,Santa Clara,County,1967585.0,30.0,236.0,0.0,3.0,21.0,163,13.0,97,5.0,36.0,0.0,0.0,
2020-03-09,Santa Clara,County,1967585.0,42.0,278.0,2.0,5.0,87.0,250,35.0,132,6.0,42.0,1.0,1.0,
2020-03-10,Santa Clara,County,1967585.0,44.0,322.0,0.0,5.0,110.0,360,30.0,162,3.0,45.0,0.0,1.0,
2020-03-11,Santa Clara,County,1967585.0,48.0,370.0,0.0,5.0,188.0,548,42.0,204,3.0,48.0,0.0,1.0,
2020-03-12,Santa Clara,County,1967585.0,40.0,410.0,0.0,5.0,325.0,873,34.0,238,3.0,51.0,0.0,1.0,
2020-03-13,Santa Clara,County,1967585.0,58.0,468.0,1.0,6.0,498.0,1371,65.0,303,8.0,59.0,0.0,1.0,
2020-03-14,Santa Clara,County,1967585.0,62.0,530.0,0.0,6.0,304.0,1675,67.0,370,3.0,62.0,1.0,2.0,
2020-03-15,Santa Clara,County,1967585.0,56.0,586.0,1.0,7.0,265.0,1940,40.0,410,17.0,79.0,0.0,2.0,
2020-03-16,Santa Clara,County,1967585.0,72.0,658.0,0.0,7.0,578.0,2518,44.0,454,36.0,115.0,0.0,2.0,
2020-03-17,Santa Clara,County,1967585.0,80.0,738.0,3.0,10.0,505.0,3023,54.0,508,6.0,121.0,2.0,4.0,
2020-03-18,Santa Clara,County,1967585.0,58.0,796.0,0.0,10.0,539.0,3562,40.0,548,30.0,151.0,2.0,6.0,
2020-03-19,Santa Clara,County,1967585.0,51.0,847.0,0.0,10.0,430.0,3992,30.0,578,32.0,183.0,2.0,8.0,
2020-03-20,Santa Clara,County,1967585.0,67.0,914.0,2.0,12.0,377.0,4369,37.0,615,63.0,246.0,0.0,8.0,
2020-03-21,Santa Clara,County,1967585.0,37.0,951.0,2.0,14.0,281.0,4650,40.0,655,23.0,269.0,2.0,10.0,
