Date,New Cases,7-Day Moving Avg, historical data
Apr 17 2022,19379,35212,0
Apr 16 2022,10534,34972,0
Apr 15 2022,39705,35359,1232
Apr 14 2022,62850,35562,1736
Apr 13 2022,51186,31380,584
Apr 12 2022,27726,29505,548
Apr 11 2022,35106,30295,125
Apr 10 2022,17700,29246,0
Apr  9 2022,13244,28415,620
Apr  8 2022,41125,28033,171
Apr  7 2022,33575,26107,703
Apr  6 2022,38061,26357,5000
Apr  5 2022,33260,26577,0
Apr  4 2022,27760,24982,0
Apr  3 2022,11884,25731,0
Apr  2 2022,10569,25611,1096
Apr  1 2022,27642,25524,858
Mar 31 2022,35326,25559,5736
Mar 30 2022,39603,25295,9063
Mar 29 2022,22094,24831,1951
Mar 28 2022,32999,25280,0
Mar 27 2022,11045,26138,0
Mar 26 2022,9964,26079,3085
Mar 25 2022,27886,26104,1025
Mar 24 2022,33478,26453,3339
Mar 23 2022,36351,26453,9643
Mar 22 2022,25238,26748,0
Mar 21 2022,39004,26717,0
Mar 20 2022,10637,26734,0
Mar 19 2022,10139,26568,0
Mar 18 2022,30325,26880,825
Mar 17 2022,33480,27813,0
Mar 16 2022,38418,28684,0
Mar 15 2022,25022,29816,0
Mar 14 2022,39120,30580,22655
Mar 13 2022,9478,32923,0
Mar 12 2022,12318,32875,0
Mar 11 2022,36855,33224,104
Mar 10 2022,39583,34098,0
Mar  9 2022,46336,35877,930
Mar  8 2022,30373,36870,972
Mar  7 2022,55520,38599,2211
Mar  6 2022,9143,40967,0
Mar  5 2022,14761,42270,0
Mar  4 2022,42975,43911,1750
Mar  3 2022,52031,48499,0
Mar  2 2022,53288,51772,0
Mar  1 2022,42480,54788,21852
Feb 28 2022,72091,65281,4522
Feb 27 2022,18268,61905,0
Feb 26 2022,26248,63875,0
Feb 25 2022,75089,66088,0
Feb 24 2022,74945,70199,0
Feb 23 2022,74395,73893,0
Feb 22 2022,115931,78508,0
Feb 21 2022,48459,77599,0
Feb 20 2022,32061,95587,0
Feb 19 2022,41740,98010,0
Feb 18 2022,103866,101883,676
Feb 17 2022,100805,109251,0
Feb 16 2022,106694,118836,0
Feb 15 2022,109573,131747,0
Feb 14 2022,174372,144386,0
Feb 13 2022,49022,161695,0
Feb 12 2022,68849,168866,0
Feb 11 2022,155444,174185,0
Feb 10 2022,167902,190325,0
Feb  9 2022,197069,216599,0
Feb  8 2022,198049,232158,0
Feb  7 2022,295535,246657,10500
Feb  6 2022,99215,286562,0
Feb  5 2022,106082,295291,0
Feb  4 2022,268423,312083,13581
Feb  3 2022,351821,348849,0
Feb  2 2022,305981,380390,0
Feb  1 2022,299544,414941,0
Jan 31 2022,574873,443588,0
Jan 30 2022,160316,506002,0
Jan 29 2022,223626,528677,0
Jan 28 2022,525782,544488,0
Jan 27 2022,572609,580465,0
Jan 26 2022,547838,609884,0
Jan 25 2022,500076,644114,0
Jan 24 2022,1011768,695952,0
Jan 23 2022,319040,689719,0
