Date,New Deaths,7-Day Moving Avg,Historic Deaths
Apr 17 2022,20,373,0
Apr 16 2022,20,379,0
Apr 15 2022,533,397,0
Apr 14 2022,690,443,0
Apr 13 2022,645,416,0
Apr 12 2022,399,455,320
Apr 11 2022,310,489,0
Apr 10 2022,57,494,0
Apr  9 2022,146,499,0
Apr  8 2022,855,501,0
Apr  7 2022,502,460,0
Apr  6 2022,922,488,0
Apr  5 2022,633,522,-130
Apr  4 2022,343,533,0
Apr  3 2022,96,581,0
Apr  2 2022,156,579,0
Apr  1 2022,572,580,0
Mar 31 2022,699,607,0
Mar 30 2022,1160,634,0
Mar 29 2022,711,644,0
Mar 28 2022,675,674,0
Mar 27 2022,81,686,0
Mar 26 2022,168,693,0
Mar 25 2022,758,698,0
Mar 24 2022,885,725,0
Mar 23 2022,1235,748,0
Mar 22 2022,916,785,0
Mar 21 2022,760,857,0
Mar 20 2022,132,938,0
Mar 19 2022,204,945,0
Mar 18 2022,945,994,0
Mar 17 2022,1049,1061,0
Mar 16 2022,1489,1089,0
Mar 15 2022,1424,1154,0
Mar 14 2022,1329,1195,-3779
Mar 13 2022,177,1220,0
Mar 12 2022,545,1243,0
Mar 11 2022,1416,1214,0
Mar 10 2022,1249,1232,0
Mar  9 2022,1943,1247,0
Mar  8 2022,1707,1220,0
Mar  7 2022,1505,1256,0
Mar  6 2022,340,1353,0
Mar  5 2022,343,1352,0
Mar  4 2022,1540,1382,0
Mar  3 2022,1352,1495,0
Mar  2 2022,1756,1651,-238
Mar  1 2022,1958,1770,0
Feb 28 2022,2183,1957,0
Feb 27 2022,336,1800,0
Feb 26 2022,555,1833,0
Feb 25 2022,2326,1858,0
Feb 24 2022,2448,1852,0
Feb 23 2022,2589,1827,0
Feb 22 2022,3263,1837,0
Feb 21 2022,1089,1803,0
Feb 20 2022,564,2066,0
Feb 19 2022,732,2084,0
Feb 18 2022,2283,2121,0
Feb 17 2022,2273,2204,0
Feb 16 2022,2659,2245,0
Feb 15 2022,3027,2290,362
Feb 14 2022,2924,2397,0
Feb 13 2022,693,2443,0
Feb 12 2022,988,2440,0
Feb 11 2022,2867,2473,0
Feb 10 2022,2561,2544,0
Feb  9 2022,2973,2566,0
Feb  8 2022,3777,2595,0
Feb  7 2022,3243,2653,0
Feb  6 2022,674,2569,0
Feb  5 2022,1221,2602,0
Feb  4 2022,3365,2644,0
Feb  3 2022,2709,2658,0
